id,Название (укр),Название (рус),Описание (укр),Описание (рус),primary_image,category_id,subcategory_id,product_id,validated,year,availability,images,tags,price,weight,length,width,height,model,seo,created_at,updated_at,status,sku,quantity,minimum,subtract,stock_status_id,shipping,points,weight_class_id,length_class_id,sort_order,viewed,date_available,date_added,date_modified,created_from_gallery
1294,Магнікур Енерджі 500 мл,,"Магнікур Енерджі 500 мл Магнікур Енерджі - системний фунгіцид, розроблений для захисту овочевих і плодово-ягідних культур від проявів кореневої гнилі та несправжньої борошнистої роси (пероноспорозу). Препарат Превікур - це альтернативна назва цього засобу, що має такий самий профілактичний і лікувальний ефект. Магнікур Енерджі ціна, відгуки, переваги забезпечення вираженого захисного ефекту протягом 30 днів; захист кореневої системи рослин; збереження дії під час опадів; Магнікур Енерджі, відгуки з приводу ефективності проти хвороб - позитивні; безпека для довкілля та рослин; необхідність невеликої кількості обробок для досягнення позитивного результату. Може використовуватися для обробки огірків, помідорів, баклажанів, перцю, кавунів, динь та інших плодово-ягідних, овочевих культур від широкого спектра захворювань.",,p403150.jpg,400,403,p4031294,0,2025,1,,,982.2,,,,,,magnikur-enerdzhi-500-ml,,,,,,,,,,,,,,,,,,
1295,Тіофен 1 кг,,"Опис фунгіциду ""Тіофен (Топсин М)"" 1 кг Контактно-системний фунгіцид захисної та терапевтичної дії проти збудників борошнистої роси, іржі, гнилей і плямистостей на овочевих і технічних культурах. Властивості та переваги Тіофен має лікувальну та захисну дію і добре виражений стоп-ефект. Швидкодіючий системний фунгіцид із тривалим терміном захисної дії. Діюча речовина препарату - тіофанат-метил - перешкоджає виникненню резистентних форм патогена. У разі потрапляння препарату на один бік листка він добре проникає на протилежний бік, захищаючи весь лист від хвороб. Швидко проникає в рослину, що запобігає змиванню препарату дощем або під час поливу. Посилює процес дозрівання плодів, покращує їхню лежкість при транспортуванні та зберіганні. Не викликає в культури перехресної резистентності з іншими фунгіцидами. Має тривалу захисну дію, яка переноситься на новоутворені пагони рослин. Період захисної дії: 10-14 діб.",,p403151.jpg,400,403,p4031295,0,2025,1,,keeping,648.38,,,,,,tiofen-1-kg,,,,,,,,,,,,,,,,,,
1296,Тройсет 250 г,,"Опис Тройсет 250 г Тройсет (від Укравіт) - новітній системний препарат, що складається з трьох основних компонентів. Захищає овочеві та інші благородні культури від широкого спектра грибкових і вірусних захворювань. Це один із найкращих фунгіцидів для картоплі, для помідорів, відмінний захист кавунів від хвороб. Купити фунгіцид Тройсет високої якості можна в онлайн-магазині АгроХім. Товар буде відправлено в будь-який куточок країни в день замовлення. В наявності є кілька дозувань препарату: Тройсет 25 г, 50 г і 250 г. Переваги використання Багато фермерів і городників шукають препарати від оїдіуму і мілдью. Інноваційний фунгіцид відмінно впорається з цими захворюваннями, також це хороший засіб від фітофтори. Відгуки про Тройсет підтверджують ефективність препарату. До основних характеристик належать такі: бореться з безліччю захворювань овочевих культур завдяки оптимальній комбінації трьох діючих речовин; має тривалий період захисної дії (до трьох тижнів); зводить до мінімуму появу стійкості патогенів до фунгіциду, оскільки в складі є три речовини з різних хімічних класів; чинить не тільки захисну, а й лікувальну (антиспоруляційну) дію, може застосовуватися для профілактики; не потребує додаткових допоміжних препаратів у бакових сумішах. Ціна на препарат Тройсет залежить від кількості придбаних упаковок і дозування.",,p403152.jpg,400,403,p4031296,0,2025,1,,late_blight,178.66,,,,,,troiset-250-g,,,,,,,,,,,,,,,,,,
1297,Ацидан 1 кг,,"Ацидан Механізм дії: металаксил інгібує у грибів синтез нуклеїнових кислот. Завдяки системним властивостям препарат швидко проникає в рослину через листя і стебла переміщуючись акропетально, здатен вилікувати організм на ранніх стадіях зараження і захищати його надалі. Манкоцеб знищує конідіальне спороношення фітопатогенних грибів. Механізм функціональної дії полягає в тому, що діюча речовина інгібує метаболізм в клітинах гриба. Манкоцеб також виступає в якості захисного бар’єру, котрий не дозволяє проникати патогенам в тканини рослин. Властивості та переваги: Комбінований фунгіцид, який забезпечує надійний захист високого рівня від збудників мільдью, чорної плямистості на винограді та пероноспорозу, фітофторозу, макроспоріозу, альтернаріозу та антракнозу на овочевих культурах. Наявність двох діючих речовин, які належать до різних хімічних груп і мають різний механізм дії, застерігає формування резистентних популяцій у фітопатогенних грибів. Володіє ефективним механізмом дії проти патогенних грибів, які проявляються свою агресивність в умовах високої вологості ґрунту. Спеціальна рецептура препарату зумовлює високе прилипання, що застерігає змиванню опадами із обробленої поверхні рослин. Зменшує ураженість рослин, сприяє їх виздоровленню. Застосовується як профілактично (для застереження масового розвитку), так і при масовому поширенні хвороби ( володіє лікувальною дією). При дотриманні регламенту по застосуванню не має фітотоксичності. Препарат є ключовою ланкою антирезистентної стратегії. Класифікація ВООЗ, токсикологічна характеристика: ІІІ клас (помірно токсичні).",,p403153.jpg,400,403,p4031297,0,2025,1,,"black,late_blight,alternaria",507.8,,,,,,atsidan-1-kg,,,,,,,,,,,,,,,,,,
1298,Бродвей 1 л,,"Опис фунгіциду ""Бродвей (Квадріс)"" 1 л Фунгіцид, що володіє захисною, куративною і викорінювальною дією для захисту виноградників від мілдью, оїдіуму та сірої гнилі. Діюча речовина азоксистробін 250 г/л Препаративна форма концентрат суспензії (КС) Культура виноградники Спектр дії мілдью, оїдіума і серої гнилі Властивості та переваги Препарат найефективніший при застосуванні на ранніх стадіях розвитку інфекції Діє на популяції грибів, стійких до феніламідів, бензимідазолів, інгебітора синтезу стеринів Сумісний з багатьма фунгіцидами, інсектицидами та акарицидами У рекомендованих дозах не фітотоксичний. Не рекомендується обробка яблуні через високу чутливість до препарату Посилює і подовжує процес фотосинтезу Є аналогом природної сполуки, має прекрасні екологічні характеристики Кратність обробки за сезон - 1 Строк останньої обробки (у днях до збору врожаю) - 25",,p403154.jpg,400,403,p4031298,0,2025,1,,red,953.91,,,,,,brodvei-1-l,,,,,,,,,,,,,,,,,,
1299,Квадріс 1 л,,"Квадріс 1л фунгіцид Препарат Квадріс — це системний фунгіцид, що дозволяє контролювати широкий спектр захворювань винограду, овочевих культур, а також ґрунтових захворювань картоплі. Якісно бореться із захворюваннями, чим сприяє підвищенню врожайності. Квадріс термін очікування після обробки до збирання врожаю становить не більше 5 днів, тому проводити обприскування можна вже по дозріваючих плодах для їх тривалого зберігання. Квадріс оригінал. Переваги Квадріс для хвойних, орхідей, полуниці, яблуні застосовується з метою лікування та попередження появи грибкових захворювань. Основні переваги препарату: контролює широкий спектр поширених основних та вторинних грибкових захворювань; має тривалий ефект; фунгіцид від фітофторозу стійкий до змивання дощем; сумісний у бакових сумішах; Квадріс для томатів та інших культур збільшує врожайність за рахунок продовження роботи листового апарату та посилення фотосинтезу; Не створює ризик виникнення фітотоксичності при дотриманні всіх рекомендацій.",,p403155.jpg,400,403,p4031299,0,2025,1,,late_blight,2806.06,,,,,,kvadris-1-l,,,,,,,,,,,,,,,,,,
1300,Актарофіт К 10г,,"Актарофіт К 10г Актарофіт К - біологічний засіб для боротьби з комахами-шкідниками, плодово-ягідних, овочевих, декоративних рослин. Ефективно діє, як біопрепарат від цибулевої мухи, павутинного кліща або інших комах. Діючі компоненти належать до класу авермектини.  Актарофіт К Ензим за рахунок додаткової дії на кліщів, прийнято вважати інсекто-акарацидним засобом. Актарофіт К відгуки, переваги Ефективний, як біопрепарат від хрестоцвітної блішки, попелиці, совки та інших шкідників культурних рослин. Засіб добре сумісний з іншими препаратами природного походження, стимуляторами росту. Біологічний препарат Актарофіт К відмінно показує себе як інсектицид проти широкого спектра шкідників на культурах. високоефективний у боротьбі зі шкідниками різних видів; нетоксичний для кокцинелід (сонечок), павуків, дощових черв'яків тощо; Актарофіт К, відгуки про його безпеку для людей, ефективність проти шкідливих об'єктів - позитивні; здатний розкладатися в навколишньому середовищі, не накопичуючись у плодах, овочах і ґрунті.",,p405001.jpg,400,405,p4051300,0,2025,1,,,33.76,,,,,,aktarofit-k-10g-1300,,,,,,,,,,,,,,,,,,
1301,Колорадоцид 20 г,,"Колорадоцид 20 г Біо-інсектицид Колорадоцид - препарат нового покоління, контролює більшість видів шкідників шляхетних культур, при цьому є абсолютно безпечним для рослин, ґрунту і навколишнього середовища. Найчастіше використовується Колорадоцид проти колорадського жука або від капустяної молі, також це ефективний засіб від павутинного кліща. Колорадоцид відгуки, ціна, переваги Фермери та садівники задоволені використанням цього препарату. Про це свідчать відгуки про Колорадоцид. Також біопрепарат від галової попелиці має низку позитивних характеристик: безпечний для людей, корисних комах і навколишнього середовища; контролює широкий спектр комах-шкідників (навіть найважче виводити види); не накопичується в рослинах і ґрунті; не впливає на зовнішній вигляд і смакові якості овочевих і плодових культур, які підлягають обробці; може використовуватися незалежно від стадії росту та розвитку рослин; діюча речовина дуже швидко розкладається в ґрунті на природні компоненти, тому можна використовувати інсектицид перед збиранням урожаю без шкоди для плодів; не викликає резистентності. Купити Колорадоцид можна в онлайн-магазині АгроХім. Оптова ціна на Колорадоцид діє при купівлі 20 упаковок.",,p405002.jpg,400,405,p4051301,0,2025,1,,,26.11,,,,,,koloradotsid-20-g-1301,,,,,,,,,,,,,,,,,,
1302,Комплезим Компост 100 г,,,,p405003.jpg,400,405,p4051302,0,2025,1,,,69.46,,,,,,komplezim-kompost-100-g,,,,,,,,,,,,,,,,,,
1303,Інсектицид для кімнатних рослин 10 мл,,,,p405004.jpg,400,405,p4051303,0,2025,1,,,28.56,,,,,,insektitsid-dlia-kimnatnikh-roslin-10-ml,,,,,,,,,,,,,,,,,,
1304,Актарофіт Форте 250 мл,,"Актарофіт Форте 250 мл Актарофіт Форте - біологічний засіб для боротьби з комахами-шкідниками, плодово-ягідних, овочевих, декоративних рослин. Ефективно діє, як біопрепарат від цибулевої мухи, павутинного кліща або інших комах. Діючі компоненти належать до класу авермектини.  Актарофіт Форте Ензим за рахунок додаткової дії на кліщів, прийнято вважати інсекто-акарацидним засобом. Актарофіт Форте відгуки, переваги Ефективний, як біопрепарат від хрестоцвітної блішки, попелиці, совки та інших шкідників культурних рослин. Засіб добре сумісний з іншими препаратами природного походження, стимуляторами росту. Біологічний препарат Актарофіт відмінно показує себе як інсектицид проти широкого спектра шкідників на культурах. високоефективний у боротьбі зі шкідниками різних видів; нетоксичний для кокцинелід (сонечок), павуків, дощових черв'яків тощо; Актарофіт, Форте, відгуки про його безпеку для людей, ефективність проти шкідливих об'єктів - позитивні; здатний розкладатися в навколишньому середовищі, не накопичуючись у плодах, овочах і ґрунті.",,p405005.jpg,400,405,p4051304,0,2025,1,,,227.05,,,,,,aktarofit-forte-250-ml-1304,,,,,,,,,,,,,,,,,,
1305,Бінок насіння 1 г,,"Протруйник Бінок насіння 1г Бінок насіння - біологічний засіб розроблений для сухої передпосівної обробки насіння сільськогосподарських культур безпосередньо у пакетах, спрямований на підвищення росту, розвитку рослин, збільшення врожайності та надання захисту від захворювань. У його склад входять спеціально підібрані мікроорганізми, які виступають проти збудників кореневих гнилей, а також азотфіксуючі мікроорганізми, мікроелементи для мобілізації фосфору та калію, а також комплекс фітогормонів, вітамінів і ростових стимуляторів. Переваги Покращенню енергії проростання насіння, навіть у умовах стресу. Швидкому розвитку міцної кореневої системи. Створенню сприятливої ризосфери з корисними мікроорганізмами. Ефективному придушенню патогенних бактерій та грибків у ґрунті протягом усього вегетаційного періоду. Мінімізації шкідливого впливу грунтових гербіцидів та протруйників на рослини. Збільшенню врожайності на 7-19%. Зменшенню витрат на лубриканти для сівалок завдяки меншій потребі в тальку та графіті. Покращенню азотного та фосфорно-калійного харчування, а також підвищенню ефективності засвоєння поживних речовин з мінеральних добрив.",,p405006.jpg,400,405,p4051305,0,2025,1,,,17.85,,,,,,binok-nasinnia-1-g,,,,,,,,,,,,,,,,,,
1306,Брос Мікробек для септиків таблетка 20 г,,"Брос Мікробек для септиків Мікробек - мікробіологічний препарат, що не містить небезпечних хімічних компонентів. Він сприяє безпечному біорозкладанню нечистот, що містяться в септиках або у вигрібних ямах. Мікробек: відгуки про переваги Засіб для вигрібних ям Мікробек працює за двома напрямками: розкладає забруднення і сприяє підтримці чистоти. Найбільш виражений результат забезпечується за регулярного застосування. Санітарна система краще працює, менше засмічується і не стає осередком розмноження хвороботворних бактерій. Переваги: підвищення прохідності системи; нейтралізація смердючих запахів; скорочення витрат на асенізаторське чищення; ефективність роботи індивідуальних очисних споруд. Мікробек для вигрібних ям безпечний для людини в процесі застосування і не шкодить навколишньому середовищу. Відсутність хімічних речовин і небезпечних компонентів у складі робить препарат екологічно чистим.",,p405007.jpg,400,405,p4051306,0,2025,1,,,35,,,,,,bros-mikrobek-dlia-septikiv-tabletka-20-g,,,,,,,,,,,,,,,,,,
1307,Лімацид 80 г,,"Купити Лімацид 80 г Цей препарат використовується як отрута для слимаків і равликів на присадибних, дачних ділянках. Лимацид випускається у вигляді гранульованої приманки. Слимаки шкодять городнім і садовим культурам: картоплі, капусті, квасолі, гороху, огіркам, помідорам, суниці. На рослинах з'являються характерні дірки неправильної форми. Шкідники залишають слиз на поверхні стебел і листя. У рідині скупчуються продукти життєдіяльності, гельмінти, грибки та інші небажані мікроорганізми. Досить купити Лімацид, щоб ефективно знищити шкідників. Лімацид відгуки, ціна, переваги пригнічує розмноження равликів і слимаків та обмежує пересування дорослих особин по присадибній ділянці; діє в перші години після обробки; залишається привабливим для шкідників, незважаючи на наявність рослинного корму; має низьку токсичність для бджіл, дощових черв'яків, комах, що приносять користь. Достатньо однієї обробки, щоб шкідники загинули. Лімацид зберігає ефективність протягом 14 днів, навіть якщо в цей період випав дощ. Препарат поєднується з добривами та біопестицидами.",,p405008.jpg,400,405,p4051307,0,2025,1,,,79.15,,,,,,limatsid-80-g,,,,,,,,,,,,,,,,,,
1308,"Унікал-с 15 г, для вигрібних ям",,"Унікал-с 15 г для вигрібних ям і компосту Унікал - універсальний препарат, який застосовується як біодеструктор для септиків і вигрібних ям, він також прискорює компостування органіки. Унікал: відгуки про переваги Унікал - біопрепарат, що не становить небезпеки для довкілля, оскільки в складі відсутні токсичні хімічні компоненти. Переваги: усунення неприємних запахів; швидке зменшення кількості відходів; поліпшення дренажу у вигрібних ямах і септиках; підготовка багатого корисними речовинами і мікрофлорою добрива. За необхідності засіб Унікалможна використовувати для очищення каналізації від заторів з мінерально-органічних компонентів.",,p405009.jpg,400,405,p4051308,0,2025,1,,universal,27.95,,,,,,unikal-s-15-g-dlia-vigribnikh-iam,,,,,,,,,,,,,,,,,,
1309,"Унікал-с 15 г, для компостів",,"Унікал-с 15 г для компостів Унікал - універсальний препарат, який застосовується як біодеструктор для септиків і вигрібних ям, він також прискорює компостування органіки. Унікал: відгуки про переваги Унікал - біопрепарат, що не становить небезпеки для довкілля, оскільки в складі відсутні токсичні хімічні компоненти. Переваги: усунення неприємних запахів; швидке зменшення кількості відходів; поліпшення дренажу у вигрібних ямах і септиках; підготовка багатого корисними речовинами і мікрофлорою добрива. За необхідності засіб Унікалможна використовувати для очищення каналізації від заторів з мінерально-органічних компонентів.",,p405010.jpg,400,405,p4051309,0,2025,1,,universal,27.95,,,,,,unikal-s-15-g-dlia-kompostiv,,,,,,,,,,,,,,,,,,
1310,ФітоДоктор Старт 20 г,,"Фітодоктор Старт 20г Препарати Фітодоктор Старт і Фітодоктор Лист - біологічні фунгіциди пролонгованої дії, які вирізняються високим ступенем захисту від бактеріальних і грибкових захворювань. Різниця між ними в тому, що перший засіб використовується для розсади і посівного матеріалу, а другий - для дерев, кущів і різних рослин у період активного росту. Фунгіцид Фітодоктор у двох варіантах має однакові активні компоненти і гарантує стовідсотковий захист від кореневої гнилі, фітофторозу, борошнистої роси тощо. ФітоДоктор ціна, відгуки, аналоги Як свідчать відгуки, Фітодоктор Лист і Старт - це найкраще рішення для обробки посівного матеріалу та рослин у період вегетації. Біологічний фунгіцид має низький клас токсичності, тому ним можна обприскувати насадження навіть за кілька тижнів до збору врожаю. Препарат Фітодоктор має такі переваги: ефективний фунгіцидний, антисептичний і бактерицидний вплив на грибки та бактерії, що спричиняють широкий спектр хвороб культур; прискорене рівномірне проростання посадкового матеріалу (Старт) і підвищення хворобостійкості рослин (Лист); підвищення врожайності щонайменше на 15%; сумісність із хімічними пестицидами; на пропоновані препарати Фітодоктор ціна доступна. Два біологічних фунгіциди можуть повністю замінити дорогі хімічні засоби захисту дерев, кущів, рослин і квітів, тому вони підходять для всесезонного оброблення саду та городу. Оскільки склад препаратів натуральний, їх можна комбінувати з іншими аналогами, якщо зараження надто інтенсивне, проте бажано попередньо проконсультуватися з експертом.",,p405011.jpg,400,405,p4051310,0,2025,1,,late_blight,18.97,,,,,,fitodoktor-start-20-g,,,,,,,,,,,,,,,,,,
1311,Фунгіцид для кімнатних рослин 20 г,,"Опис Фунгіцид для кімнатних рослин 20 г Засіб від хвороб для кімнатних рослин - біофунгіцид який складається з живих клітин та спор бактерій. Призначений для лікування, профілактики кімнатних рослин від найпоширеніших хвороб. Переваги Засіб підвищує іммунітет рослин Володіє антигрибковими та бактерицидними властивостями Швидка дія Довготривалий захисний ефект",,p405012.jpg,400,405,p4051311,0,2025,1,,,19.48,,,,,,fungitsid-dlia-kimnatnikh-roslin-20-g-1311,,,,,,,,,,,,,,,,,,
1312,Актарофіт Форте 20 мл,,"Актарофіт Форте 20 мл Актарофіт Форте - біологічний засіб для боротьби з комахами-шкідниками, плодово-ягідних, овочевих, декоративних рослин. Ефективно діє, як біопрепарат від цибулевої мухи, павутинного кліща або інших комах. Діючі компоненти належать до класу авермектини.  Актарофіт Форте Ензим за рахунок додаткової дії на кліщів, прийнято вважати інсекто-акарацидним засобом. Актарофіт Форте відгуки, переваги Ефективний, як біопрепарат від хрестоцвітної блішки, попелиці, совки та інших шкідників культурних рослин. Засіб добре сумісний з іншими препаратами природного походження, стимуляторами росту. Біологічний препарат Актарофіт відмінно показує себе як інсектицид проти широкого спектра шкідників на культурах. високоефективний у боротьбі зі шкідниками різних видів; нетоксичний для кокцинелід (сонечок), павуків, дощових черв'яків тощо; Актарофіт, Форте, відгуки про його безпеку для людей, ефективність проти шкідливих об'єктів - позитивні; здатний розкладатися в навколишньому середовищі, не накопичуючись у плодах, овочах і ґрунті.",,p405013.jpg,400,405,p4051312,0,2025,1,,,20.71,,,,,,aktarofit-forte-20-ml-1312,,,,,,,,,,,,,,,,,,
1313,Комплезим Септик 100 г,,,,p405014.jpg,400,405,p4051313,0,2025,1,,,69.46,,,,,,komplezim-septik-100-g,,,,,,,,,,,,,,,,,,
1314,Актарофіт Форте 100 мл,,"Актарофіт Форте 100 мл Актарофіт Форте - біологічний засіб для боротьби з комахами-шкідниками, плодово-ягідних, овочевих, декоративних рослин. Ефективно діє, як біопрепарат від цибулевої мухи, павутинного кліща або інших комах. Діючі компоненти належать до класу авермектини.  Актарофіт Форте Ензим за рахунок додаткової дії на кліщів, прийнято вважати інсекто-акарацидним засобом. Актарофіт Форте відгуки, переваги Ефективний, як біопрепарат від хрестоцвітної блішки, попелиці, совки та інших шкідників культурних рослин. Засіб добре сумісний з іншими препаратами природного походження, стимуляторами росту. Біологічний препарат Актарофіт відмінно показує себе як інсектицид проти широкого спектра шкідників на культурах. високоефективний у боротьбі зі шкідниками різних видів; нетоксичний для кокцинелід (сонечок), павуків, дощових черв'яків тощо; Актарофіт, Форте, відгуки про його безпеку для людей, ефективність проти шкідливих об'єктів - позитивні; здатний розкладатися в навколишньому середовищі, не накопичуючись у плодах, овочах і ґрунті.",,p405015.jpg,400,405,p4051314,0,2025,1,,,90.88,,,,,,aktarofit-forte-100-ml-1314,,,,,,,,,,,,,,,,,,
1315,Актофіт 200 мл,,"Актофіт 200 мл Актофіт - препарат інсекто-акарицид, біологічного походження, що забезпечує захист картоплі, огірків, томатів, баклажанів, полуниці, винограду, інших овочевих і плодово-ягідних культур від широкого спектра шкідників. Препарат Актофіт перешкоджає розмноженню шкідливих комах на всіх стадіях росту - яєць, личинок, імаго (дорослих особин). Актофіт для картоплі переваги Актофіт від вишневої мухи, павутинного кліща та інших шкідників ефективно використовують завдяки кільком перевагам: допустиме застосування за кілька діб до збору врожаю; відсутність токсичного впливу на рослини і навколишнє середовище; настання загибелі комах уже через кілька годин після обробки; сумісність із різними пестицидами та інсектицидами; збереження ефективності при температурі до +28 градусів. Актофіт для огірків у відкритому ґрунті та інших культур під час використання не викликає у людини алергічної реакції, не несе небезпеки для тварин. Досить невеликої кількості засобу, щоб виконати обприскування і отримати необхідний результат.",,p405016.jpg,400,405,p4051315,0,2025,1,,,87.75,,,,,,aktofit-200-ml-1315,,,,,,,,,,,,,,,,,,
1316,Актофіт 40 мл,,"Актофіт 40 мл Актофіт - препарат інсекто-акарицид, біологічного походження, що забезпечує захист картоплі, огірків, томатів, баклажанів, полуниці, винограду, інших овочевих і плодово-ягідних культур від широкого спектра шкідників. Препарат Актофіт перешкоджає розмноженню шкідливих комах на всіх стадіях росту - яєць, личинок, імаго (дорослих особин). Актофіт для картоплі переваги Актофіт від вишневої мухи, павутинного кліща та інших шкідників ефективно використовують завдяки кільком перевагам: допустиме застосування за кілька діб до збору врожаю; відсутність токсичного впливу на рослини і навколишнє середовище; настання загибелі комах уже через кілька годин після обробки; сумісність із різними пестицидами та інсектицидами; збереження ефективності при температурі до +28 градусів. Актофіт для огірків у відкритому ґрунті та інших культур під час використання не викликає у людини алергічної реакції, не несе небезпеки для тварин. Досить невеликої кількості засобу, щоб виконати обприскування і отримати необхідний результат.",,p405017.jpg,400,405,p4051316,0,2025,1,,,20.9,,,,,,aktofit-40-ml-1316,,,,,,,,,,,,,,,,,,
1317,Актофіт 900 мл,,"Актофіт 900 мл Актофіт - препарат інсекто-акарицид, біологічного походження, що забезпечує захист картоплі, огірків, томатів, баклажанів, полуниці, винограду, інших овочевих і плодово-ягідних культур від широкого спектра шкідників. Препарат Актофіт перешкоджає розмноженню шкідливих комах на всіх стадіях росту - яєць, личинок, імаго (дорослих особин). Актофіт для картоплі переваги Актофіт від вишневої мухи, павутинного кліща та інших шкідників ефективно використовують завдяки кільком перевагам: допустиме застосування за кілька діб до збору врожаю; відсутність токсичного впливу на рослини і навколишнє середовище; настання загибелі комах уже через кілька годин після обробки; сумісність із різними пестицидами та інсектицидами; збереження ефективності при температурі до +28 градусів. Актофіт для огірків у відкритому ґрунті та інших культур під час використання не викликає у людини алергічної реакції, не несе небезпеки для тварин. Досить невеликої кількості засобу, щоб виконати обприскування і отримати необхідний результат.",,p405018.jpg,400,405,p4051317,0,2025,1,,,361.92,,,,,,aktofit-900-ml-1317,,,,,,,,,,,,,,,,,,
1318,АнтАут 80 г,,"АнтАут від мурах 80г АнтАут - біологічний засіб-приманка для боротьби з домашніми та садовими мурахами. Препарат використовується в житлових і виробничих приміщеннях, а також на території ділянок у місцях скупчення шкідників (мурашниках). Мурахи здатні псувати продукти харчування та бути переносниками різних захворювань. АнтАут відгуки та переваги Засіб відмінно справляється зі своїм завданням і позитивний результат помітний буквально через 2-3 дні. Серед головних переваг можна виділити такі: надає надійний захист протягом тривалого періоду; має інсектицидну дію проти кількох популярних видів мурах; не несе небезпеки для людей, птахів, риб, бджіл і теплокровних тварин; чинить пролонговану дію.",,p405019.jpg,400,405,p4051318,0,2025,1,,,97.21,,,,,,antaut-80-g,,,,,,,,,,,,,,,,,,
1319,Біо NPK 1 кг,,"BioNPK 1 кг Препарат належить до біостимуляторів. Складається з органічних речовин і мікроорганізмів. NPK - добриво, стимулююче фізіологічний розвиток рослин, що сприяє поліпшенню росту і підвищенню врожайності декоративних, плодово-ягідних і овочевих культур. Це відбувається завдяки комплексному впливу вітамінів, фітогормонів, ауксинів, ферментів та інших корисних складових. Переваги Добриво для овочів приносить садівникам і городникам користь, яка полягає: у насиченні ґрунту органічними речовинами, що стимулюють ріст і розвиток культур; підвищенні врожайності; екологічної безпеки; підвищення якості ґрунту завдяки насиченню його мікроорганізмами; підтримці оптимальних показників вологи, щільності та структури ґрунту. Грибкові спори пригнічують мікрофлору, що викликає захворювання рослин.",,p405020.jpg,400,405,p4051319,0,2025,1,,firm,59.16,,,,,,bio-npk-1-kg,,,,,,,,,,,,,,,,,,
