id,Название (укр),Название (рус),Описание (укр),Описание (рус),image
331,делікатесна,Деликатесная,,"Деликатесная.Среднеспелый сорт с отличными вкусовыми качествами. От массовых всходов до технической спелости 110-115 дней. Корнеплод округлый с гладкой поверхностью. Мякоть темно-красная, нежная, сочная, сладкая. Сорт устойчив к  и цветению.",
332,Дейтройт,Дейтройт,,"Дейтройт. Америк. Самый распространенный сорт столовой свеклы. Среднепоздний, от всходов до уборки – 100-110 дней. Формирует круглые, очень красивые корнеплоды с гладкой кожицей и небольшой розеткой листьев, массой  176-187 г. Мякоть без колец, темно-красного цвета.",
333,Єгипетська плоска,Египетская плоская,,"Египетская плоская.Скороспелый, засухоустойчивый сорт, обладающий хорошими вкусовыми качествами. Высокоурожайный. Корнеплоды плоские, мякоть тёмно-красная с фиолетовым оттенком, сочные и вкусные, массой до 350г, формируются на поверхности грунта.",
334,кардинал,Кардинал,,"Кардинал.Среднеспелый, высокоурожайный сорт свеклы столовой. Вегетационный период от посева семян до сбора урожая – 80-120 дней. Корнеплод красного цвета с бордовым оттенком, круглой формы, без ярко выраженных концентрических колец. Вкусовые качества высокие.",
335,кедр,Кедри,,"Кедри.Среднеспелый высокоурожайный сорт, который является усовершенствованием известного сорта Цилиндра. Вегетационный период составляет 95-120 дней. Корнеплоды цилиндрической формы, темно-красного цвета с бордовым оттенком.",
336,Кросбі,Кросби,,"Кросби.Сорт раннеспелый, высокоурожайный. Великолепные шаровидные, гладкие, сочные и вкусные корнеплоды имеют красивый темный цвет мякоти, быстро варятся. Используют для ранней пучковой продукции и на хранение.",
337,негритянка,Негритянка,,"Негритянка.Позднеспелая.  Вегетационный период  от восхода до технической спелости 100-120 дней. Корнеплод выровненный округлый, гладкий массой  450-700 г. Мякоть темно-красная,  без видимых колец. Этот сорт ценится за стабильную урожайность,",
338,Носівський плоский,Носовская плоская,,"Носовская плоская.Сорт скороспелый. Период от посева до уборки 87-123 дня. Корнеплоды плоские. Массой 206-450 г. Кожица темно-красная, мякоть темно-фиолетовая, сочная, отличного вкуса. Лежкость при хранении хорошая. Сорт устойчив к болезням.",
339,Опольська,Опольская,,"Опольская.Среднеспелый сорт, вегетационный период 110-120 дней. Корнеплоды цилиндрической формы. Мякоть интенсивно темно-красная с высокими вкусовыми качествами. Высокоурожайная. Лежкость хорошая. Предназначен для переработки, консервирования порезанным на ломтики, квашения.",
340,Красний куля,Красний шар,,"Красний шар.Сорт среднеспелый, период от посева до уборки – 95-105 дней. Корнеплоды округлые, массой 250-400 г. Мякоть темно-красная, сочная. Используют для хранения, консервирования, квашения.",
341,Рівал,Ривал,,"Ривал.Сорт среднеранний. Корнеплод цилиндрический, мякоть темно-красная, с оттенком бордо, без колец, нежная, сочная. Вкусовые качества высокие. Урожайный, с высоким выходом товарных корнеплодов. Лежкость хорошая.",
342,мулатка,Мулатка,,"Мулатка.Новый среднеспелый сорт столовой свеклы (от всходов до уборки урожая 120-130 дней) рекомендованный для зимнего хранения и использования в кулинарии. Корнеплоды округлой формы, выравненные, гладкие, темно-бордового цвета, массой 160-360 г.",
343,Пабло F1,Пабло F1,,"Пабло F1. Голландия.Современный, среднеранний гибрид (78 дней от полных всходов до технической спелости) с отличными показателями на любых типах почв. Отличается идеальным сочетанием формы корнеплода и окраски в разрезе. Мякоть нежная, сочная, темно-бордового цвета, без колец. Масса корнеплода 110-180 г.",
344,циліндра,Цилиндра,,"Цилиндра.Среднеспелый сорт, период вегетации 110-120 дней. Плод цилиндрический, массой 180-350 г. Мякоть интенсивно-красная, сочная, нежная, отличного вкуса, особенно для винегретов Используют для потребления в свежем виде, переработки и хранения.",
345,циліндра,Цилиндра,,"Цилиндра.Среднеспелый сорт, период вегетации 110-120 дней. Плод цилиндрический, массой 180-350 г. Мякоть интенсивно-красная, сочная, нежная, отличного вкуса, особенно для винегретов Используют для потребления в свежем виде, переработки и хранения.",
346,Київська рожева,Киевская розовая,,"Киевская розовая.Популярный среднеспелый сорт кормовой свеклы польской селекции , Высоко урожайна  и засухоустойчива, многоростковый куст формирует овально-цилиндрической формы корнеплод без боковых отростков, который погружен в почву на 40 %",
347,Урсус Полі,Урсус Поли,,"Урсус Поли. Польша.Сорт кормовой свеклы польской селекции, корнеплод цилиндрической формы, желтого цвета, незначительно загрязнены землей, погружен в почву на 40 %, легко собираются вручную. Поверхность корнеплода гладкая, мякоть - белая, слегка кремовая, сочная. Хорошо хранится.",
348,Екендорфская жовта,Экендорфская желтая,,"Экендорфская желтая.Кормовой ,сорт достаточно урожайный длительного хранения,популярный,среднеспелый Устойчивый  к болезням",
349,цукрова,Сахарная,,"Сахарная. Корнеплодное растение, возделывается в основном для получения сахара, но может также возделываться для корма животным. В первый год растение формирует розетку прикорневых листьев и утолщённый мясистый корнеплод, в котором содержание сахарозы обычно от 8 до 20 %",
350,Астраханський,Астраханский,,"Астраханский.Среднеспелый, вегетационный период 85-90 дней. Относительно устойчив к фузариозу.
Плод гладкий, рисунок – широкие темно-зеленые полосы, фон светло-зеленый. Мякоть
карминно-красная, зернистая, высокой сладости и сочности.",
351,Бінго,Бинго,,"Бинго.Крупноплодный и очень вкусный высокоурожайный сорт.
Плод, округлый, массой 8 — 12 кг.
Поверхность гладкая, светло-зеленая, с едва заметными зелёными пятнами.
Мякоть тёмно-красная, нежная, зернистая, очень сочная и сладкая.",
352,Борчанський,Борчанский,,"Борчанский. Раннеспелый сорт. Предназначен для возделывания в открытом и защищенном грунте.
Плоды среднего размера, массой 2,5-3кг, округлые, зеленые, с темно-зелеными шиповатыми полосками. Мякоть нежная зернистая, сочная, карминно-красная, сладкая.",
353,княжич,Княжич,,"Княжич.Раннеспелый сорт. Плод округлый или овальный, светло-зеленый с темно-зелеными
шиповатыми полосками, массой 5,9 кг. Мякоть нежная, малиновая, зернистая, сочная,очень сладкая. Семена мелкие, коричневые с черными точками.",
354,княжич,Княжич,,"Княжич. Раннеспелый сорт. Плод округлый или овальный, светло-зеленый с темно-зелеными
шиповатыми полосками, массой 5,9 кг. Мякоть нежная, малиновая, зернистая, сочная,очень сладкая. Семена мелкие, коричневые с черными точками.",
355,Каховський,Каховский,,"Каховский. Сорт раннеспелый, от всходов до начала созревания плодов 67-70 дней.  Плоды
шарообразной формы, гладенькие, цвет плодов зеленый, рисунок - темно-зеленые полосы.Кора средней толщины (9,0-12,0 мм) редко до 15,0 мм. Мякоть красного цвета, зернистая,",
356,Кримсон світ,Крымсон свит,,"Крымсон свит.Лидер рынка по раннеспелости (60-65 дней). Высокопродуктивный. Пригоден для выращивания в открытом грунте и под пленкой. Дает стабильный урожай даже в засушливых условиях. Плоды округлой формы, полосатые, средней массой 7-9 кг,",
357,Мелітопольський,Мелитопольский,,"Мелитопольский.Сорт среднеспелый - 80-105 дней. Плод тупо-элипсовидный, зеленый с темно-зелеными
шиповатыми полосами, мякоть интенсивно-розовая или малиновая, сочная, сладкая.Урожайность 2,2-3,2 кг/ кв.м, средняя масса плода 4-12 кг",
358,вогник,Огонек,,"Огонек.Скороспелый, вегетационный период 65-75 дней. Плоды шаровидные с гладкой
поверхностью, черно-зеленого цвета. Кора тонкая. Мякоть ярко-красная, зернистая,сочная, сладкая. Семена мелкие, коричневые.",
359,Північне сяйво, Северное   сияние,," Северное   сияние. Ультраскороспелый, предназначен для выращивания рассадным и безрассадным способом, удается получить высокий урожай даже в северных и западнях областях Украины.",
360,Роза південного сходу,Роза юго-востока,,"Роза юго-востока.Сорт среднеспелый - 76-90 дней. Плод шаровидный, светло-зеленый с широкими темно-зелеными размытыми полосами, мякоть карминно-красная, зернистая. Урожайность 2,0-
2,8 кг/ кв.м. Средняя масса плода 1,5-3,0 кг. Вкусовые качества хорошие,",
361,цукровий малюк,Сахарный малыш,,"Сахарный малыш.Сверхранний, высокопродуктивный, имеет отличные вкусовые и товарные качества.Подходит для открытого грунта и пленочных укрытий. Растение мощное, характеризуется быстрым созреванием плодов. Плоды округлой формы, весом 4-6кг, однородные, темно-зеленые. Мякоть ярко-красная.",
362,Таврійський,Таврийский,,"Таврийский.Среднеспелый крупноплодный сорт, является национальным стандартом Украины. Плоды массой 10-15 кг, тупоэллептические. Мякоть малиновая, зернистая, не ослизняется, а усыхает, очень сладкая. Семена белые, среднего размера. Сорт отличается очень хорошими вкусовыми качествами плодов .",
363,Чарльстон грей,Чарльстон грей,,"Чарльстон грей.Среднеспелый сорт. Вегетационный период от всходов до технической спелости 75-95дней. Мякоть хрустящая, темно-красная, без прожилок, очень сладкая, сочная и
ароматная. Плоды крупные, светло-зеленого цвета с темно-зелеными прожилками,овальной формы, массой 10-12 кг.",
364,холодок,Холодок,,"Холодок.Среднепоздний сорт, очень лежкий и транспортабельный. Растение мощное,длинноплетистое. Плод удлиненно-шаровидный, крупный. Мякоть интенсивно-красная, с розовым оттенком, зернистая, нежная, сладкая, сочная. Хранится до Нового года.",
365,Шіроненскій,Широненский,,"Широненский.Раннеспелый, транспортабельный, пригоден для одноразовых сборов, лежкий.
Вегетационный период 84 дня. Плод округлый, гладкий, массой 2,7-2,8 кг. Рисунок в виде салатных полосок со слабым восковым налетом, без сетки. Мякоть розово-малиновая,",
366,Ярило,Ярыло,,"Ярыло.Сорт раннеспелый, от всходов до первого сбора 65-75 дней. Относительно устойчив к
фузариозному увяданию, бактериозу, антракнозу. Плоды шаровидные, гладкие с темно-зеленой окраской фона и еле заметными рисунками. Мякоть карминно-красная, сочная,",
367,Алушта,Алушта,,"Алушта.Сорт ранний, устойчивый к воздушной и грунтовой засухе, транспортабельный. До сбора 77 дней. Плод овальный, массой 1,8-2кг, поверхность слабо бугристая, желтая. Мякоть белая, толстая, маслянистая, нежная, сладкая, сочная, з дынным ароматом. Устойчив к антракнозу, мучнистой и серой гнили.",
368,ананас,Ананас,,"Ананас.Среднеспелый сорт. Вегетационный период от всходов до технической спелости 75-95 дней.Плоды овальной формы, оранжевого цвета с сеткой на кожуре, длиной 14-16см, массой 2-2,5кг.Мякоть белая, сочная, маслянистая и ароматная, по вкусу напоминает ананас.",
369,Амал F1,Амал F1,,"Амал F1.Раннеспелый гибрид дыни Ананасного сортотипа. Форма плода овальная, масса 1,8-2 кг, с крупной, ярко выраженной  сеткой на кожице. Мякоть белоснежная. Традиционный для данного типа вкус и запах. Гибрид устойчив к фузариозу, сухой гнили и ложной мучнистой росе.",
370,Берегиня,Берегиня,,"Берегиня.Раннеспелый (74-92 дня), высокопродуктивный сорт. Плоды короткоовальные или шаровидные, желто-оранжевого цвета, массой 2,5-3кг, отдельные до 5кг. Кожица сетчатая, мякоть сочная, сладкая, очень ароматная.",
371,Дубівка,Дубовка,,"Дубовка.Среднеспелый сорт. Плоды крупные, округло-овальные, светло-желтые или желтые. При дозревании весь плод покрыт мелкой сеткой. Мякоть твердая, очень сладкая, сочная, ароматная. Теплолюбивое,
жаростойкое и засухоустойчивое растение.",
372,золотиста,Золотистая,,"Золотистая.Раннеспелый, высокоурожайный (2-2,5 кг с кв.м) сорт. От массовых всходов до первого сбора 80-85 дней.Плоды округлые, крупные и средние, желто-оранжевые в сетке. Мякоть белая, толстая, нежная, сладкая,высоких вкусовых качеств. Транспортабельность хорошая.",
373,золотиста,Золотистая,,"Золотистая.Раннеспелый, высокоурожайный (2-2,5 кг с кв.м) сорт. От массовых всходов до первого сбора 80-85 дней.Плоды округлые, крупные и средние, желто-оранжевые в сетке. Мякоть белая, толстая, нежная, сладкая,высоких вкусовых качеств. Транспортабельность хорошая.",
374,інею,Инея,,"Инея.Сорт раннеспелый, урожайный. Вегетационный период 75-90 дней. Плоды овальные, хорошего товарного вида,крупные, желтые, в сетке. Мякоть толстая, белая, нежная, тающая, очень сладкая.",
375,Козачка 244,Казачка 244,,"Казачка 244.Среднеспелый сорт, длинноплетистый. Период от всходов до начала технической спелости 95 дней.Плод гладкий, массой 1,2-1,8 кг. Мякоть белая и бледно-зеленая, плотная, сладкая, хрустящая.",
376,колгоспниця,Колхозница,,"Колхозница.Раннеспелая, приносит обильный урожай и всегда хорошо плодоносит. Вегетационный период 80 дней. Плоды округлые, гладкие, с сеткой на кожуре. Мякоть мясистая, белая, сочная, маслянистая и очень ароматная.",
377,Криничанка,Криничанка,,"Криничанка.Сверхранний, устойчивый к недостатку тепла и солнечного освещения. До дозревания 70 дней. Плод овальный, большой, массой 2-2,4кг.",
378,Леся,Леся,,"Леся.Сорт раннеспелый, сетчатого типа, предназначен для выращивания в открытом грунте. Плоды овальные,массой 1,3-2,3 кг, кожица сетчатая, тонкая, желто-оранжевая. Мякоть белая, сочная, очень ароматная, с
высоким содержанием сахара, высоких вкусовых качеств.",
379,медовий аромат,Медовый аромат,,"Медовый аромат.Средне-ранний сорт голландской селекции. Растение средней силы роста. Плоды округлые с сетчатой кожурой, желто-коричневой окраски привлекательного внешнего вида, массой 1-1,2 кг. Мякоть сочная, нежная, оранжевого цвета, с сильным ароматом. Вкусовые качества отличные.",
380,Титовка,Титовка,,"Титовка.Ультрараннеспелый, холодостойкий сорт. В южных районах Украины поспевает на 55-65 день после всходов, а в западных областях – на 75-85 день. Плод короткоовальный, средней массой 1,5-3 кг. Кожица желто-оранжевая, тонкая.",
381,Ефіопка,Ефиопка,,"Ефиопка. Середньоранній сорт. Дозріває через 70-80 днів після появи сходів. Рослини компактні,потужні. Плоди овально-округлі, середні, великі і дуже великі. Маса плодів від 3,0 до 7,0",
382,Придністровська,Приднестровская,,"Приднестровская.Раннеспелая, от всходов до первого сбора 70-75 дней. Плод овальный, массой 0,7-1,8кг. Поверхность гладкая,
желтая, сетка густая. Мякоть белая, толстая, хрустящая, сочная, сладкая. Аромат густой. Устойчив к мучнистой росе и бактериозу.",
383,рання 133,Ранняя 133,,"Ранняя 133.Сорт раннеспелый, урожайный (до 2кг с 1кв.м). Вегетационный период 75-80дней. Плоды хорошего товарного вида, округло-овальные, крупные, желтые, в сетке. Мякоть белая, толстая, рассыпчато-плотная, нежная,
сладкая, хорошего вкуса. Транспортабельный.",
384,Волзька сіра 92,Волжская серая 92,,"Волжская серая 92.Среднеспелый сорт, от всходов до начала уборки 102-121 день. Плод массой 6-9кг, сплюснутой формы, светло-серой окраски, мякоть кремово-желтая, приятнийя вкус Сорт засухоустойчив, отличается хорошей лежкостью.",
385,Гілея,Гилея,,"Гилея.Мускатный, скороспелый, высокоурожайный сорт, вегетационный период 110 дней. Плод шаровидный или овальный, массой 6-9 кг. Содержит большое количество каротина и пектина. Мякоть очень сладкая, ярко-красного цвета. Отсутствует темно-зеленый слой под коркой.",
386,Мигдальний 35,Миндальная 35,,"Миндальная 35.Растения длинноплетистые, мощные. Урожай до 4,4 кг/кв.м. Особенности агротехники: для открытого грунта. Сроки созревания: среднеспелый, от всходов до технической спелости проходит 110-120 дней.Плоды гладкие или слабо ребристие массой до 3,8-5 кг",
387,Мускат де Прованс,Мускат де Прованс,,"Мускат де Прованс. .Высокоурожайный среднеспелый (110-115 дней) сорт тыквы. Растение мощное, формирует большие, красно-оранжевые, округло-приплюснутые плоды с сегментированной поверхностью. Мякоть ярко оранжевая, плотнаяс высоким содержанием сахара.",
388,голонасінних, Голосеменная,," Голосеменная.Сорт среднеспелый, теплолюбивый. Стебель длинный, стелющийся, сильноразветвленный. Женского типа цветения. Плоды высоких вкусовых качеств. Мякоть ярко-желтая, сладкая. Употребляют в свежем виде,изготавливают соки, варят, тушат, пекут.",
389,Українська багатоплідна,Украинская многоплодная,,"Украинская многоплодная.Сорт раннеспелый, теплолюбивый. От посева до сбора плодов – 88-92 дня. Стебель длинный, стелющийся, до
10 м длиной. Женского типа цветения. Плоды высоких вкусовых качеств Мякоть желтая сладкая.Употребляют в свежем виде, изготавливают соки, варят, тушат, пекут.",
390,Арабатськая,Арабатськая,,"Арабатськая. Сорт столового назначения, мускатного типа.  Плоды удлиненно-цилиндрические, с утолщением возле основы, средней массой 5-9 кг, длиной 56 см и диаметром 13-14 см. Мякоть плотная, толстая, ярко-оранжевая, сочная, сладкая. Поздняя, длинноплетистая, транспортабельная, лежкая.",
391,аеронавт,Аэронавт,,"Аэронавт.Сорт раннеспелый, в плодоношение вступает на 46 день. Растение кустовое, компактное, плетей мало, главный побег короткий. Плод цилиндрический, гладкий, темно-зеленый, массой 1,3 кг. Кора тонкая. Мякоть белая, плотная, нежная, сочная, вкусная.",
392,Анаконда,Анаконда,,"Анаконда. Смесь четырех самых лучших  сортов кабачка, раннеспелых,кустовых с одинаковыми сроками созревания.",
393,Белоплодний,Белоплодный,,"Белоплодный.Раннеспелый, очень высокоурожайный сорт. Растение кустовое, с большим количеством женских цветков, что обеспечивает большую отдачу урожая. Плод цилиндрический, с небольшим сужением к плодоножке, беловатый, массой 0,6-0,9 кг. Мякоть белая или светло-кремовая, средней плотности.",
394,Вайт-Буш F1,Вайт-Буш F1,,"Вайт-Буш F1.Раннеспелый сорт зарубежной селекции. В плодоношение вступает на 40-45 день. Растение кустовое, плоды белые мякоть бело-кремовая, плотная, сочная, вкусная. Урожайность более 12 кг м2. Транспортабельность хорошая. Созревшие плоды хорошо сохраняются.",
395,Грибовський 37,Грибовский 37,,"Грибовский 37.Сорт скороспелый, урожайный. Плод цилиндрический, гладкий, бледно-зеленый. Выращивают в открытом и защищенном грунте. Урожайная, болезнестойкая культура. Для получения ранней продукции высаживают 20-25 апреля в укрытие.",
396,Зебра,Зебра,,"Зебра.Сорт раннеспелый, в плодоношение вступает на 38-й день. Растение кустовое, компактное, плетей мало, главный стебель короткий. Плод цилиндрический, массой 0,5 кг, светло-зеленый, рисунок – широкие продольные темно-зеленые полосы. Мякоть белая, хрустящая, плотная, нежная, сочная.",
397,Золотинка,Золотинка,,"Золотинка.Сорт раннеспелый, в плодоношение вступает на 46 день, от появления всходов. Растение кустовое, компактное. Плоды удлинённо- цилиндрические, золотисто- желтого цвета, массой 1-1,5кг,  хорошо транспортируются и сохраняются",
398,кущовий,Кустовой,,"Кустовой.Раннеспелый, урожайный сорт. В плодоношение вступает на 40-45 день. Кустовой, с куста снимают до 10 плодов средней массой 0,5 кг. В открытый грунт высевают в конце мая на глубину 5-6 см в рыхлой почве, в плотной – на 3-4 см.",
399,Одеський,Одесский,,"Одесский.Сорт скороспелый (от всходов до технической спелости — 40-41 день). Растение кустовое. Плод цилиндрический, гладкий, молочной или бледно-зеленой окраски. Мякоть в технической спелости светло-желтая или розовато-желтая. Устойчив к болезням.",
400,чорний красень,Черный красавец,,"Черный красавец.Раннеспелый сорт. Растение кустовое, компактное, плетей мало, главный побег короткий. Плод удлиненно-цилиндрический, гладкий, темно-зеленый. Кора тонкая. Мякоть белая, плотная, нежная, сочная, вкусная. Транспортабельность и лежкость хорошие.",
401,ролик,Ролик,,"Ролик.Сорт ультраскороспелый. Одновременно формирует 3-5 плодов. Растение кустовое с укороченными междоузлиями. Плод овальный, гладкий. Сетка и рисунок отсутствуют. Мякоть в товарной спелости светло-зеленая, плотная. Транспортабельность хорошая. Сорт устойчив к пониженным температурам.",
402,Скворушка,Скворушка,,"Скворушка.Раннеспелый, кустовой сорт с интенсивным ростом плодов и дружным созреванием. До начала плодоношения 35-40 дней. Сорт насыщен женскими цветками. Плод зелёный, цилиндрический, длиной  около 23см, массой 300-500г. Мякоть светло-салатового цвета, сочная. Сорт относительно стойкий против болезней.",
403,Цукеша,Цукеша,,"Цукеша.Скороспелый, высокоурожайный сорт. Вегетационный период от всходов до начала плодоношения 40-45 дней. Куст компактный, без боковых побегов. Плоды цилиндрической формы с гладкой поверхностью, темно-зеленые с мелкими крапинками.",
404,Чаклун,Чаклун,,"Чаклун.Раннеспелый сорт, от полных всходов до первого сбора плодов проходит 45 дней. Растение кустовой формы, компактное. Характеризуется дружной отдачей урожая. Плоды цилиндрические, длиной 15-20 см, диаметром 5-7 см, массой 350 г, белые, слабо глянцевые.",
405,Кавілі F1,Кавили F1,,"Кавили F1.Кустовой гибрид кабачка, используется для получения ультраранней и массовой продукции. Отличается длительным периодом плодоношения (около 2 месяцев). Плоды цилиндрические, очень прямые, бело-зеленые с белой мякотью, очень однородные, с нежным вкусом.",
406,Світозар,Свитозар,,"Свитозар.Раннеспелый сорт, от массовых всходов до первого сбора плодов проходит 41-50 дней. Растение кустовой формы, без боковых побегов. Сортотип цуккини. Плоды цилиндрические, гладкие, желтого цвета, длиной 26-30 см, массой 500-800 г.",
407,патисон Малахіт,Патиссон Малахит,,"Патиссон Малахит.Раннеспелый, в плодоношение вступает на 65 день. Растение кустовой формы. Плоды мелкие, тарелочной формы с округло-зубчатыми краями, зеленого цвета. Ценный витаминный и диетический продукт.",
408,патисон Помаранчевий,Патиссон Оранжевый,,"Патиссон Оранжевый.Ранний, в плодоношение вступает на 65 день. Растение кустовой формы. Плоды мелкие, тарелочной формы с округло-зубчатыми краями, в технической спелости светло-желтые в биологической – оранжевые. Ценный витаминный и диетический продукт.",
409,патисон Сашенька,Патиссон Сашенька,,"Патиссон Сашенька. Новый сорт, мелкоплодный, урожайный, тарелочной формы , белый ,в консервации напоминает грибы.",
410,салат Верна,Салат  Верна,,"Салат  Верна.Среднеспелый ( 70-75 дней ) сорт. Головки плотные, могут достигать массы около 1кг. Расцветка готовой продукции — ярко- зеленая. Листья хорошо отделяются друг от друга. Салат сочный, хрустящий.",
411,латук,Латук,,"Латук.Раннеспелый салат, образует кудрявую головку с красивими блестящими листьями. Консистенция листа хрустящая, плотная. Вкус очень хороший. Высоких товарных качеств, имеет длительный период хозяйственной годности.",
412,Салат Лоло Біонда,Салат Лоло Бионда,,"Салат Лоло Бионда.Раннеспелый листовой салат предназначенный для выращивания с весны до поздней осени. От полных всходов до технической спелости 40-50 дней. Листья курчавые, светло-зеленой окраски, мясистые и нежные на вкус.",
413,Салат Лоло Росса,Салат Лоло Росса,,"Салат Лоло Росса. Раннеспелый листовой салат. От полных всходов до технической спелости 40-50 дней. Листья курчавые, светло-зеленой окраски с широким розовым краем. Возделывается в открытом и защищенном грунте.",
414,Одеський кучерявець,Одесский кучерявец,,"Одесский кучерявец.Раннеспелый, высокоурожайный (до 5 кг/кв.м) сорт, богатый витаминами и минеральными солями. Растение формирует курчавые листья, без содержания горечи,. культура холодостойкая.",
415,палітра, Палитра,," Палитра.Смесь семи самых популярных видов салата, 1000семян. Предназначенных для длительного срока сбора в виду разности сроков созревания сортов.",
416,салат Рукола,Салат Руккола,,"Салат Руккола.Теплолюбивое многолетнее растение. Листья собраны в густую прикорневую розетку. В пищу используют свежие молодые листья с пряным острым вкусом и ароматом ореха, из которых готовят салаты  �� блюда с сыром.",
417,салат Сніжинка,Салат Снежинка,,"Салат Снежинка.Раннеспелый листовой сорт, для выращивания в открытом грунте и в пленочных укрытиях. Вегетационный период от всходов до технической спелости 20-25 дней. Образует компактную розетку, диаметром 20-25 см.",
418,салат,Салат,,"Салат. Айсберг.Раннеспелый, высокоурожайный сорт кочанного салата для весеннего и осеннего выращивания в открытом грунте и под пленкой. Вегетационный период от всходов до сбора урожая - 58-65 дней. Формирует крупные кочаны.",
419,салат Тайфун, Салат Тайфун,," Салат Тайфун.Листовой салат с хрустящими сочными листьями. Розетка листьев высотой 20 см, диаметром 27 см. Лист крупный, зеленый, сильноволокнистый. Масса растения 200-220 гр, урожайность 3,5 кг/м2. Вкус отличный.",
420,салат Мізунь,Салат Мизуна,,"Салат Мизуна, это японская листовая капуста,неприхотливая в выращивании, с нежными листьями широко применяемая в блюдах как украшение с особенным вкусом .",
421,салат,Салат,,"Салат. Каталогна.Среднеспелый листовой салат,с приподнятой розеткой массой 90-100гр, итальянский сорт ,предназначен для бутербродов.",
422,Валеріаннела салатна,Валерианнела салатная,,"Валерианнела салатная. Однолетнее растение,хорошо развита прикорневая розетка, влаголюбива,листья сладкие ,используются до цветения.",
423,шпинат Матадор,Шпинат Матадор,,"Шпинат Матадор.Сорт ранний (30-35 дней от полных всходов до технической спелости). Розетка
полуприподнятая, компактная. Лист серо-зеленый, глянцевый, толстый, овальный. Сорт требует обильных поливов.",
424,щавель широколистий,Щавель широколистый,,"Щавель широколистый. Раннеспелый, от всходов до хозяйственной годности 40-45 дней. Устойчив, зимостойкий. Лист удлиненно-яйцевидный, зеленый. Рекомендуется для выращивания в открытом грунте при весеннем, летнем и подзимнем сроках сева.",
425,базелік фіолетовий,Базелик фиолетовый,,"Базелик фиолетовый. Растение, не выносит низких температур. Размножают рассадой или посевом в открытый грунт. На рассаду высевают за 1,5-2 месяца до высадки в грунт, на глубину 1,5-2см.",
